G1,G2,group,group2
-0.021185591657518,-0.009051513424461,1,2
-0.005730215181776,0.021725357773522,1,2
-0.004439886508845,-0.022373590614853,1,2
-0.002812418330904,-0.02056625562998,1,2
-0.00730747322067,-0.039094655983772,1,2
-0.007232985262468,-0.023441143096835,1,2
-0.01388866938514,-0.008027716510121,1,2
-0.013370254800742,0.00039850056211,1,2
0.01208767511786,-0.049509605361727,1,2
-0.007588709217444,-0.040618275924834,1,2
-0.007310998053363,-0.028798443754355,1,2
0.015044115365993,-0.018024903402008,1,2
-0.013971344060323,-0.015899107507106,1,2
-0.010015694438828,0.005571888792979,1,2
0.04195914217218,-0.037742344530184,1,2
-0.012130902808944,-0.01475780118931,1,2
-0.008873412895837,-0.015737896562773,1,2
0.020734462709389,-0.036152705680114,1,2
-0.000939234212506,-0.036501064540023,1,2
-0.018183324340988,-0.00890209655609,1,2
0.024245679729234,-0.03896482586537,1,2
-0.012315542751249,-0.018121953828114,1,2
-0.019855976271206,0.004692142195688,1,2
0.011435360393419,-0.030436658705687,1,2
-0.002923914805517,-0.029698516382961,1,2
-0.014488531476656,-0.019658502196557,1,2
-0.012771707747058,-0.019234159642637,1,2
-0.005868970847554,-0.022874448095941,1,2
-0.014211062371197,-0.004611344588147,1,2
-0.013371441879325,-0.009736379006618,1,2
-0.005303337130657,0.000391513484699,1,2
-0.012426424247629,-0.020587818525063,1,2
-0.01498111020668,-0.029249293955249,1,2
-0.001469118231724,-0.019160907233207,1,2
-0.014439685786387,-0.005044527295456,1,2
-0.020584125253774,-0.013900317308563,1,2
-0.010927093418302,-0.012516896389437,1,2
-0.014106924571252,-0.020833056582893,1,2
-0.011789141181581,-0.018380514476338,1,2
-0.008253688071929,-0.015049273645274,1,2
0.003503320265925,0.003296860352825,1,2
-0.009377832861158,0.003833337035902,1,2
-0.009939624307683,0.00778364547202,1,2
-0.010040192212165,-0.010252804369497,1,2
-0.010511772841645,-0.026750757166944,1,2
0.00125030242249,-0.026370358807764,1,2
0.005071286390241,0.018100503356386,1,2
